index,prediction
75751,250.0 watt
75752,80 gram
75753,17.0 inch
75754,12.7 centimetre
75755,1800.0 volt
75756,1800.0 watt
75757,7.8 inch
75758,48.3 centimetre
75759,48.3 centimetre
75760,10.47 inch
75761,5.0 milligram
75762,19.5 centimetre
75763,32.0 centimetre
75764,8.5 centimetre
75765,21.0 volt
75766,10.0 inch
75767,208.0 pound
75768,71.0 centimetre
75769,71.0 millimetre
75770,71.0 millimetre
75771,5.0 centimetre
75772,5.0 centimetre
75773,1.5 inch
75774,1.5 inch
75775,453.0 gram
75776,11.0 gram
75777,120.0 millimetre
75778,120.0 millimetre
75779,220 pound
75780,11.3 kilogram
75781,500 gram
75782,105.0 millimetre
75783,53.0 millimetre
75784,35.0 centimetre
75785,4.0 centimetre
75786,200.0 centimetre
75787,200.0 centimetre
75788,17.0 millimetre
75789,30.0 millimetre
75790,30.0 millimetre
75791,45.0 centimetre
75792,3.1 inch
75793,4.9 inch
75794,3.4 inch
75795,37.5 centimetre
75796,37.5 centimetre
75797,59.5 centimetre
75798,8.0 centimetre
75799,7.0 centimetre
75800,200.0 millimetre
75801,12.0 inch
75802,20.0 centimetre
75803,20.0 centimetre
75804,3.0 centimetre
75805,10.5 inch
75806,10.5 inch
75807,340.0 pound
75808,118.0 millimetre
75809,165.0 millimetre
75810,165.0 millimetre
75811,165.0 millimetre
75812,50.0 millimetre
75813,45.0 centimetre
75814,4.0 centimetre
75815,15.35 inch
75816,15.35 inch
75817,10.0 inch
75818,6.5 inch
75819,11.0 inch
75820,12.0 centimetre
75821,8.5 centimetre
75822,12.5 centimetre
75823,12.5 centimetre
75824,13.0 centimetre
75825,110 kilogram
75826,10.0 centimetre
75827,9.0 centimetre
75828,41.5 centimetre
75829,89.0 centimetre
75830,33.0 millimetre
75831,10.75 inch
75832,20.5 inch
75833,70.0 millimetre
75834,70.0 millimetre
75835,19.0 centimetre
75836,12.0 centimetre
75837,3.94 inch
75838,5.12 inch
75839,76.0 centimetre
75840,0.2 ounce
75841,1500.0 watt
75842,66.0 centimetre
75843,52.0 centimetre
75844,8.0 inch
75845,8.0 inch
75846,7.87 inch
75847,32.5 inch
75848,4.0 gram
75849,6.0 centimetre
75850,4.2 centimetre
75851,20.7 centimetre
75852,20.7 centimetre
75853,7.8 centimetre
75854,7.8 centimetre
75855,4.0 inch
75856,17.0 centimetre
75857,5.0 ounce
75858,120.0 volt
75859,35.5 centimetre
75860,35.5 centimetre
75861,180.0 centimetre
75862,180.0 centimetre
75863,113.4 gram
75864,115.0 watt
75865,115.0 volt
75866,10.63 inch
75867,10.63 inch
75868,5.0 centimetre
75869,5.0 centimetre
75870,1.97 inch
75871,15.0 centimetre
75872,45.0 centimetre
75873,5.0 volt
75874,120.0 volt
75875,120.0 volt
75876,120.0 gram
75877,5.5 pound
75878,14.5 centimetre
75879,14.3 centimetre
75880,100.0 centimetre
75881,58.0 centimetre
75882,5.2 inch
75883,5.2 inch
75884,26.0 centimetre
75885,26.0 centimetre
75886,30.0 centimetre
75887,4.72 inch
75888,12.0 centimetre
75889,12.0 centimetre
75890,1000.0 gram
75891,1000.0 watt
75892,42.0 millimetre
75893,2.0 ton
75894,2.0 gram
75895,8.0 centimetre
75896,11.4 centimetre
75897,11.4 centimetre
75898,100.0 centimetre
75899,45.0 centimetre
75900,63.0 centimetre
75901,147.0 centimetre
75902,32.0 inch
75903,32.0 inch
75904,100.0 centimetre
75905,170.0 centimetre
75906,1.65 pound
75907,11.81 inch
75908,21.0 centimetre
75909,10.6 inch
75910,32.0 inch
75911,55.0 inch
75912,55.0 inch
75913,30.0 centimetre
75914,30.0 centimetre
75915,16.0 fluid ounce
75916,6.625 inch
75917,6.625 inch
75918,47.0 millimetre
75919,23.5 centimetre
75920,10.0 centimetre
75921,41.5 centimetre
75922,411.0 gram
75923,3.7 inch
75924,5.2 inch
75925,70.0 millimetre
75926,270.0 millimetre
75927,13.0 centimetre
75928,15.5 inch
75929,15.62 inch
75930,110.0 gram
75931,12.5 inch
75932,22.8 inch
75933,13.0 millimetre
75934,3.5 centimetre
75935,25.0 centimetre
75936,22.0 centimetre
75937,25.0 centimetre
75938,4.33 inch
75939,4.33 inch
75940,6.5 centimetre
75941,3.5 centimetre
75942,55.0 pound
75943,30.5 millimetre
75944,30.5 millimetre
75945,5.6 inch
75946,12.3 inch
75947,6.1 centimetre
75948,1.7 inch
75949,16.0 millimetre
75950,16.0 millimetre
75951,16.0 millimetre
75952,34.0 centimetre
75953,11.0 inch
75954,3.9 inch
75955,256.0 millimetre
75956,120.0 millimetre
75957,11.6 centimetre
75958,13.5 centimetre
75959,15.0 centimetre
75960,38.0 centimetre
75961,9.0 foot
75962,9.0 foot
75963,2.63 ounce
75964,970.0 millimetre
75965,208.0 gram
75966,31.5 inch
75967,21.0 centimetre
75968,41.0 centimetre
75969,5 pound
75970,30.0 gram
75971,30.0 watt
75972,10.0 centimetre
75973,100.0 centimetre
75974,10.0 centimetre
75975,1.4 inch
75976,3.4 inch
75977,125.0 millimetre
75978,5.4 centimetre
75979,0.6 inch
75980,0.6 inch
75981,50.0 millimetre
75982,80.0 millimetre
75983,51.0 centimetre
75984,43.7 inch
75985,23.6 inch
75986,43.7 inch
75987,31.5 centimetre
75988,31.5 centimetre
75989,9.0 centimetre
75990,9.0 centimetre
75991,9.0 centimetre
75992,12.4 centimetre
75993,2.1 inch
75994,2.1 inch
75995,454.0 gram
75996,11.79 inch
75997,11.79 inch
75998,13.0 centimetre
75999,11.5 centimetre
76000,15.0 watt
76001,14.0 volt
76002,28.0 centimetre
76003,120.0 centimetre
76004,4.9 inch
76005,4.5 inch
76006,40.0 centimetre
76007,24.5 centimetre
76008,11.0 centimetre
76009,30.0 millimetre
76010,38.0 millimetre
76011,13.0 centimetre
76012,6.49 inch
76013,72.0 inch
76014,72.0 inch
76015,160.0 centimetre
76016,6.1 inch
76017,18.0 centimetre
76018,1.89 inch
76019,13.39 inch
76020,70.9 inch
76021,57.0 millimetre
76022,70.0 millimetre
76023,19.0 inch
76024,60.0 centimetre
76025,130.0 centimetre
76026,1288.0 milliwatt
76027,14.0 volt
76028,0.01 fluid ounce
76029,21.0 centimetre
76030,21.0 centimetre
76031,32.5 centimetre
76032,29.3 inch
76033,2.4 centimetre
76034,28.0 millimetre
76035,40.0 centimetre
76036,20.0 centimetre
76037,40.0 centimetre
76038,40.0 centimetre
76039,21.0 centimetre
76040,21.0 centimetre
76041,22.0 centimetre
76042,16.0 centimetre
76043,12.0 inch
76044,25.0 millimetre
76045,58.0 millimetre
76046,4.8 centimetre
76047,3.3 centimetre
76048,250.0 gram
76049,7.4 centimetre
76050,3.3 inch
76051,8.0 ton
76052,120.0 volt
76053,8.0 watt
76054,11.0 centimetre
76055,12.6 centimetre
76056,12.6 centimetre
76057,12.2 centimetre
76058,300.0 volt
76059,300.0 watt
76060,65.0 pound
